INPUT	CONVERSION PRACTICE AREAS	CONVERSION SPECIALTY
Creditors Rights & Bankruptcy Litigation	Bankruptcy	Litigation;Creditors’ Rights
Bankruptcy & Reorganization	Bankruptcy	Reorganization
Bankruptcy & Business Reorganizations	Bankruptcy	Reorganizations
Bankruptcy & Corporate Reorganization	Bankruptcy	Reorganizations
Bankruptcy & Corporate Reorganization Corporate Finance	Bankruptcy	Reorganizations
Bankruptcy & Corporate Reorganization Media & Entertainment	Bankruptcy	Reorganizations
Bankruptcy & Corporate Reorganizations	Bankruptcy	Reorganizations
Business Reorganization & Bankruptcy	Bankruptcy	Reorganizations
Business Reorganization & Bankruptcy Practice	Bankruptcy	Reorganizations
Business Reorganization & Creditors Rights	Bankruptcy	Reorganizations
Business Reorganization & Financial Restructuring	Bankruptcy	Reorganizations
Business Reorganization & Restructuring	Bankruptcy	Reorganizations
Business Reorganizations	Bankruptcy	Reorganizations
Business Reorganizations & Bankruptcy	Bankruptcy	Reorganizations
Reorganization	Bankruptcy	Reorganizations
Reorganization & Bankruptcy	Bankruptcy	Reorganizations
Reorganization & Capital Recovery	Bankruptcy	Reorganizations
Reorganization / Work Outs	Bankruptcy	Reorganizations;Workouts
Bankruptcy & Business Restructuring	Bankruptcy	Restructuring
Bankruptcy & Commercial Restructuring	Bankruptcy	Restructuring
Bankruptcy & Corporate Restructuring	Bankruptcy	Restructuring
Bankruptcy & Corporate Restructuring Commercial Litigation	Bankruptcy	Restructuring
Bankruptcy & Financial Restructuring	Bankruptcy	Restructuring
Bankruptcy & Restructuring	Bankruptcy	Restructuring
Bankruptcy & Restructuring Matters	Bankruptcy	Restructuring
Bankruptcy & Restructurings	Bankruptcy	Restructuring
Business Restructuring & Bankruptcy	Bankruptcy	Restructuring
Business Restructuring & Insolvency	Bankruptcy	Restructuring
Business Restructuring & Reorganization	Bankruptcy	Restructuring
Business Restructuring / Bankruptcy	Bankruptcy	Restructuring
Financial Restructuring	Bankruptcy	Restructuring
Financial Restructuring & Bankruptcy	Bankruptcy	Restructuring
Financial Restructuring & Insolvency	Bankruptcy	Restructuring
Financial Restructuring & International Arbitration	Bankruptcy	Restructuring
Financial Restructuring Issues Recently	Bankruptcy	Restructuring
Financial Restructuring Special Situations	Bankruptcy	Restructuring
Financial Restructurings	Bankruptcy	Restructuring
Insolvencies & Restructurings	Bankruptcy	Restructuring
International Restructurings	Bankruptcy	Restructuring
Municipal Restructuring & Insolvency	Bankruptcy	Restructuring
Private Equity & Bankruptcy / Restructuring	Bankruptcy	Restructuring
Restructuring	Bankruptcy	Restructuring
Restructuring & Bankruptcy	Bankruptcy	Restructuring
Restructuring & Business Bankruptcy	Bankruptcy	Restructuring
Restructuring & Commercial Law	Bankruptcy	Restructuring
Restructuring & Dip Facilities Prior To Joining Milbank	Bankruptcy	Restructuring
Restructuring & Distressed Investing	Bankruptcy	Restructuring
Restructuring & Distressed M & A	Bankruptcy	Restructuring
Restructuring & Insolvency	Bankruptcy	Restructuring
Restructuring / Bankruptcy	Bankruptcy	Restructuring
Restructuring Transactions	Bankruptcy	Restructuring
Restructurings	Bankruptcy	Restructuring
Work Outs & Restructurings	Bankruptcy	Restructuring
Financial Restructuring & Creditors Rights	Bankruptcy	Restructuring;Creditors’ Rights
Reorganization & Creditor Rights	Bankruptcy	Restructuring;Creditors’ Rights
Reorganization & Creditors Rights	Bankruptcy	Restructuring;Creditors’ Rights
Restructuring & Creditors Rights	Bankruptcy	Restructuring;Creditors’ Rights
Restructuring & Creditors Rights Co Leader	Bankruptcy	Restructuring;Creditors’ Rights
Restructuring & Distressed Debt	Bankruptcy	Restructuring;Distressed Debt
Restructuring & Insolvency Litigation	Bankruptcy	Restructuring;Litigation
Financial Restructuring & Reorganization	Bankruptcy	Restructuring;Reorganizations
Financial Restructurings & Reorganizations	Bankruptcy	Restructuring;Reorganizations
Business Restructuring & Workouts	Bankruptcy	Restructuring;Workouts
Financial Restructuring & Workouts	Bankruptcy	Restructuring;Workouts
Loan Workouts & Restructuring	Bankruptcy	Restructuring;Workouts
Municipal Restructuring & Workouts	Bankruptcy	Restructuring;Workouts
Restructuring & Workout	Bankruptcy	Restructuring;Workouts
Restructuring & Workout Matters	Bankruptcy	Restructuring;Workouts
Restructuring & Workouts	Bankruptcy	Restructuring;Workouts
Bankruptcy & Workouts	Bankruptcy	Workouts
Bankruptcy / Workouts	Bankruptcy	Workouts
Corporate Bankruptcy & Workouts	Bankruptcy	Workouts
Insolvency & Workouts	Bankruptcy	Workouts
Loan & Asset Workout	Bankruptcy	Workouts
Loan Workout	Bankruptcy	Workouts
Loan Workouts	Bankruptcy	Workouts
Loan Workouts & Bankruptcy	Bankruptcy	Workouts
Workout & Corporate Reorganization	Bankruptcy	Workouts
Workout & Creditors Rights	Bankruptcy	Workouts
Workout & Foreclosure	Bankruptcy	Workouts
Workout & Restructuring	Bankruptcy	Workouts
Workouts	Bankruptcy	Workouts
Workouts & Bankruptcy in Public Finance	Bankruptcy	Workouts
Workouts & Business Reorganization	Bankruptcy	Workouts
Workouts & Credit Enhancements	Bankruptcy	Workouts
Workouts & Distressed Assets	Bankruptcy	Workouts
Workouts & Foreclosures	Bankruptcy	Workouts
Workouts & Loan Sales	Bankruptcy	Workouts
Workouts & Out of Court Restructurings	Bankruptcy	Workouts
Workouts & Restructuring	Bankruptcy	Workouts
Workouts & Restructurings	Bankruptcy	Workouts
Acquirers & Investors in Distressed & Bankrupt Companies	Bankruptcy	
Acquirers of Assets of Distressed Companies	Bankruptcy	
Acquirers of Troubled Companies Or Assets	Bankruptcy	
Acquirors of Financially Distressed Companies	Bankruptcy	
Ancillary / Cross Border Insolvency Cases	Bankruptcy	
Asset Securitization Defaults & Bankruptcy	Bankruptcy	
Bankruptcies	Bankruptcy	
Bankruptcies & Foreclosures	Bankruptcy	
Bankruptcy	Bankruptcy	
Bankruptcy & Insolvency	Bankruptcy	
Bankruptcy & Insolvency Law	Bankruptcy	
Bankruptcy and Creditors’ Rights	Bankruptcy	
Bankruptcy Committee Representation	Bankruptcy	
Bankruptcy Compliance & Regulatory Advice	Bankruptcy	
Bankruptcy Conflicts Counsel	Bankruptcy	
Bankruptcy Debtor Representation	Bankruptcy	
Bankruptcy Fiduciary	Bankruptcy	
Bankruptcy Franchisor Program for Franchisee Bankruptcies	Bankruptcy	
Bankruptcy Insurance	Bankruptcy	
Bankruptcy Law	Bankruptcy	
Bankruptcy Remote Entities	Bankruptcy	
Bankruptcy Structured Finance & Securitization	Bankruptcy	
Bankruptcy Taxation	Bankruptcy	
Bankruptcy Trustee	Bankruptcy	
Bankruptcy Trustees	Bankruptcy	
Bidders in Bankruptcy Cases	Bankruptcy	
Business Bankruptcy	Bankruptcy	
Commercial Restructuring / Bankruptcy	Bankruptcy	
Cross Border Insolvencies	Bankruptcy	
Debtor & Court Appointed Trustee Representation	Bankruptcy	
Debtor in Possession & Corporate Financings	Bankruptcy	
Debtor in Possession Finance	Bankruptcy	
Debtor in Possession Financiers	Bankruptcy	
Debtor in Possession Financing	Bankruptcy	
Debtor in Possession Financings	Bankruptcy	
Debtor Representation	Bankruptcy	
Debtor Representations	Bankruptcy	
Debtors	Bankruptcy	
Debtors & Court Appointed Creditors Committees	Bankruptcy	
Debtors & Troubled & Distressed Companies	Bankruptcy	
Debtors Rights	Bankruptcy	
Distressed & Special Situations Lending	Bankruptcy	
Distressed Asset	Bankruptcy	
Distressed Asset & Workout	Bankruptcy	
Distressed Asset Acquisition	Bankruptcy	
Distressed Asset Acquisitions & Investments	Bankruptcy	
Distressed Asset Advisory Services	Bankruptcy	
Distressed Asset Sales	Bankruptcy	
Distressed Asset Sales & Acquisitions	Bankruptcy	
Distressed Assets	Bankruptcy	
Distressed Assets & Alternative Investments	Bankruptcy	
Distressed Assets & Business Disposition	Bankruptcy	
Distressed Assets & Loan Workouts	Bankruptcy	
Distressed Assets & Real Estate	Bankruptcy	
Distressed Assets Team	Bankruptcy	
Distressed Company & Bankruptcy Litigation	Bankruptcy	
Energy Bankruptcies	Bankruptcy	
Energy Bankruptcy & Creditors Rights	Bankruptcy	
Financing & Pre Bankruptcy Planning	Bankruptcy	
Insolvency	Bankruptcy	
Insolvency & Bankruptcy	Bankruptcy	
Insolvency & Commercial Bankruptcy	Bankruptcy	
Insolvency & Restructuring	Bankruptcy	
Insolvency & Restructuring Corporate International Arbitration	Bankruptcy	
Insolvency & Restructuring Insurance	Bankruptcy	
Insolvency & Restructuring Legal Fee Litigation	Bankruptcy	
Insolvency & Run Off Insurance	Bankruptcy	
Insolvency Administrators	Bankruptcy	
Insolvency Law	Bankruptcy	
Insolvency Procedures	Bankruptcy	
International & Cross Border Insolvency	Bankruptcy	
Municipal Bankruptcy	Bankruptcy	
Municipal Insolvencies	Bankruptcy	
Municipal Insolvency	Bankruptcy	
Municipal Insolvency & Chapter 9 Bankruptcy	Bankruptcy	
Official Committees & Informal Creditor Groups	Bankruptcy	
Secured Creditors	Bankruptcy	
Agribusiness	Corporate	Agribusiness
Agribusiness & Cooperatives	Corporate	Agribusiness
Agribusiness Finance	Corporate	Agribusiness
Agribusiness Lending	Corporate	Agribusiness
Agribusiness Litigation	Corporate	Agribusiness
Agribusiness Media & Advertising	Corporate	Agribusiness
Agribusiness Regulation & the Farm Bill	Corporate	Agribusiness
Agribusiness Renewable Energy	Corporate	Agribusiness
Agribusiness Sports & Entertainment Business	Corporate	Agribusiness
Agribusiness Transportation	Corporate	Agribusiness
Agrichemical Litigation	Corporate	Agribusiness
Agricultural & Marketing Cooperatives	Corporate	Agribusiness
Agricultural Employment Labor / Immigration	Corporate	Agribusiness
Agricultural Finance	Corporate	Agribusiness
Agricultural Lending & Credit Transactions	Corporate	Agribusiness
Agricultural Warehousing & Storage	Corporate	Agribusiness
Agriculture	Corporate	Agribusiness
Agriculture & Food	Corporate	Agribusiness
Agriculture & Food Products Litigation & Dispute Resolution	Corporate	Agribusiness
Agriculture & Life Sciences	Corporate	Agribusiness
Agriculture Based Environmental Litigation	Corporate	Agribusiness
Agrifinance	Corporate	Agribusiness
Agrochemical & Pharmaceutical Industries	Corporate	Agribusiness
Asia	Corporate	Asia
Business / Corporate China Practice	Corporate	Asia
Global Business China	Corporate	Asia
Global Business Group China Practice	Corporate	Asia
California Winery Industry Services	Corporate	Beverage
Broker / Dealer	Corporate	Broker-Dealer
Broker Dealer	Corporate	Broker-Dealer
Broker Dealer & Market Regulation	Corporate	Broker-Dealer
Broker Dealer / Investment Adviser	Corporate	Broker-Dealer
Broker Dealer Compliance & Regulation	Corporate	Broker-Dealer
Broker Dealer Excessive Fee Claims	Corporate	Broker-Dealer
Broker Dealer Regulation	Corporate	Broker-Dealer
Broker Dealer Regulatory & Compliance	Corporate	Broker-Dealer
Broker Dealer Representation	Corporate	Broker-Dealer
Broker Dealers	Corporate	Broker-Dealer
Investment Banking & Broker Dealer	Corporate	Broker-Dealer
Broker Dealer & Investment Advisor Regulation	Corporate	Broker-Dealer;40 Act
Broker Dealer & Investment Advisors	Corporate	Broker-Dealer;40 Act
Investment Advisory & Investment Company Matters	Corporate	Broker-Dealer;Investment Advisor
Broker Dealer & Investment Management Regulation	Corporate	Broker-Dealer;Investment Management
Broker Dealer / Investment Management	Corporate	Broker-Dealer;Investment Management
Capital Markets	Corporate	Capital Markets
Capital Markets & Commercial Mortgage Servicing	Corporate	Capital Markets
Capital Markets & Investments	Corporate	Capital Markets
Capital Markets & Lending	Corporate	Capital Markets
Capital Markets / Finance	Corporate	Capital Markets
Capital Markets Business Group	Corporate	Capital Markets
Capital Markets Issues	Corporate	Capital Markets
Capital Markets Lending	Corporate	Capital Markets
Capital Markets Regulatory Compliance	Corporate	Capital Markets
Capital Markets Renewable Energy	Corporate	Capital Markets
Capital Markets Tax	Corporate	Capital Markets
Capital Markets Transaction	Corporate	Capital Markets
Capital Markets Transactions	Corporate	Capital Markets
Corporate & Capital Markets	Corporate	Capital Markets
Corporate Finance & Capital Markets	Corporate	Capital Markets
Equity & Debt Capital Markets	Corporate	Capital Markets
Equity Capital Markets	Corporate	Capital Markets
Securities & Capital Markets	Corporate	Capital Markets
Capital Markets & Private Equity	Corporate	Capital Markets;Private Equity
Capital Markets & Securities	Corporate	Capital Markets;Securities
Capital Markets & Securities Regulation	Corporate	Capital Markets;Securities
Capital Markets / Securities	Corporate	Capital Markets;Securities
Corporate Capital Markets & Securities	Corporate	Capital Markets;Securities
Corporate Capital Markets & Securities Finance	Corporate	Capital Markets;Securities
Corporate Compliance & Internal Investigations	Corporate	Compliance/Regulatory
Corporate Compliance & Investigations	Corporate	Compliance/Regulatory
Corporate Compliance & Risk Management	Corporate	Compliance/Regulatory
Corporate Compliance Programs	Corporate	Compliance/Regulatory
Corporate Compliance Programs & Employee Misconduct	Corporate	Compliance/Regulatory
Cross Border Securities & Corporate Finance	Corporate	Cross-border
Cross Border Transactions	Corporate	Cross-border
Cross Border Transactions & Financing	Corporate	Cross-border
Global Transactions	Corporate	Cross-border
International & Cross Border Transactions	Corporate	Cross-border
International Transactions	Corporate	Cross-border
Ecommerce	Corporate	E-Commercy
Business Start Ups & Emerging Businesses	Corporate	Emerging Growth
Corporate Emerging Business & Venture Capital	Corporate	Emerging Growth
Corporate Emerging Business & Venture Capital Private Equity	Corporate	Emerging Growth
Early Stage Companies	Corporate	Emerging Growth
Emerging Business	Corporate	Emerging Growth
Emerging Business / Venture Capital	Corporate	Emerging Growth
Emerging Businesses	Corporate	Emerging Growth
Emerging Businesses & Technologies	Corporate	Emerging Growth
Emerging Companies	Corporate	Emerging Growth
Emerging Companies & Entrepreneurship	Corporate	Emerging Growth
